v			CH1				Ch2			  Ch5				Ch6
0		-0.302075  	-0.744267  	-0.0343425  	0.64215
20		-0.845484  	-0.408885  	-0.0669098  	0.708534
40		-1.04198  	-0.269746  	1.06239  	0.638526
50		-1.17087  	-0.222307  	0.855533  	0.782652
60		-1.2719  	-0.207787  	0.603205  	0.819765
70		-1.4106  	-0.16441  	1.22431  	0.861068
80		-1.54952  	-0.14862  	0.681816  	0.910143
90		-1.64901  	-0.141823  	1.02625  	0.894644
100	-1.77507  	-0.123965  	1.21414  	0.936141
110	-1.82352  	-0.0954541  	1.16649  	0.980671
120	-1.99377  	-0.079853  	1.25955  	1.05633
130	-2.13682  	-0.0827484  	1.31915  	1.08918
140	-2.33739  	-0.0669011  	1.12599  	1.11232
150	-2.48468  	-0.0524233  	1.09309  	1.21699
160	-2.74121  	-0.065413  	2.10677  	1.33982
170	-2.80595  	-0.0253292  	1.68348  	1.30349

###################
pressione 40 mbar row THGEM 
VTHGEM 260V
Vdrift 700
