V		ch1 				ch2 			ch5			ch6
0		-2.90792		-0.604262	3.53477		0.00692035	
5		-4.54355		-0.940149	5.44454		0.017798	
10		-4.60592		-0.971101	5.52914		0.0399689
20		-4.64454		-0.961263	5.57264		0.0169075	
30		-4.60674		-0.941659	5.46681		0.0731362	
100	-4.64457		-0.92828		5.48926		0.116408
200	-4.35868		-0.863685	5.0712		0.173774
300	-4.50931		-0.879526	5.58739		0.304316
400	-4.55802		-0.88434		4.77667		0.464436
500	-4.58546		-0.888274	4.80777		0.546852
600	-4.5823		-0.893982	4.92655		0.607907
700	-4.56881		-0.898963	4.64432		0.731376
800	-4.66854		-0.910614	4.81694		0.916192
900	-4.40199		-0.869312	4.326			0.968103
1000	-4.62364		-0.899601	4.35697		1.04891
1100	-4.62615		-0.888808	4.82789		0.73061
1200	-4.71683		-0.901921	4.6439		1.06055
1300	-4.67319		-0.901158	4.96095		1.28401
1400	-4.86609		-0.940165	4.33262		1.36628
1500	-4.75337		-0.929683	4.10141		1.40911


