v	CH1		Ch2		  Ch5		Ch6
140	-0.300199	-0.0521118	0.183023	0.142808
145	-0.381719	-0.0678097	0.315464	0.133333
150	-0.528668	-0.093564	0.361997	0.272987
155	-0.714162	-0.127544	0.505766	0.337565
160	-0.996884	-0.16964	0.733494	0.429529
165	-1.37307	-0.219391	0.961599	0.639077
170	-1.85062	-0.309737	1.3643		0.786589
175	-2.53865	-0.41154	1.99546		0.950844
180	-3.49759	-0.566814	2.91114		1.15085
185	-4.72541	-0.740506	4.03901		1.41541
190	-6.53068	-0.993017	5.84426		1.6629
195	-8.75308	-1.27949	8.12986		1.88555
