v	CH1		Ch2		  Ch5		Ch6
130	-0.0194951  	-0.0180853  	-0.0449931  	0.0701236
140	-0.0920403  	-0.0359947  	0.697949  	0.0907947
150	-0.309229  	-0.0864728  	0.309782  	0.0813812
160	-0.881655  	-0.295909  	1.03126  	0.252488
160	-0.977906  	-0.268664  	1.26147  	0.252259
165	-1.66586  	-0.46591  	1.69146  	0.448456
170	-2.75956  	-0.784985  	3.18912  	0.570576
175	-4.47532  	-1.28474  	4.67399  	0.851014
180	-7.13684  	-2.03195  	7.71653  	1.37873
185	-10.5893  	-2.99569  	11.5328  	1.78248
190	-15.5043  	-4.38345  	17.3713  	2.65489
195	-22.6781  	-6.35391  	24.7411  	3.54306
200	-32.3926  	-8.99743  	36.8684  	4.62611
205	-45.4445  	-12.5658  	51.5795  	5.7965


************
Scan on Vthgem p=10 mbar
Vind=70	Vdrift=600
